"E","Sz","mx","my"
-12.209118742985124,-2.0,1,2
-12.165242606858973,-2.0,1,2
-12.04831168732259,-2.0,1,2
-11.90535697300739,-2.0,1,2
-13.272338497032484,-2.0,1,3
-12.471147114673407,-2.0,1,3
-12.204520015660187,-2.0,1,3
-12.13629678210033,-2.0,1,3
-12.071594349202456,-2.0,1,3
-11.825102919512787,-2.0,1,3
-13.400583706582621,-2.0,2,0
-13.080261968334185,-2.0,2,0
-12.242803961942501,-2.0,2,0
-12.089226338702849,-2.0,2,0
-12.086855212687462,-2.0,2,0
-11.977972559503021,-2.0,2,0
-13.262632158850948,-2.0,2,1
-12.476617465399343,-2.0,2,1
-12.390486847499607,-2.0,2,1
-12.136335450927692,-2.0,2,1
-12.073782475784435,-2.0,2,1
-11.729361116380518,-2.0,2,1
-13.7845638625111,-2.0,2,2
-12.782671580174416,-2.0,2,2
-12.179761873924207,-2.0,2,2
-12.128868182223487,-2.0,2,2
-12.097875050577347,-2.0,2,2
-11.909374443077347,-2.0,2,2
-13.262632158851039,-2.0,2,3
-12.47661746539943,-2.0,2,3
-12.39048684749953,-2.0,2,3
-12.136335450927668,-2.0,2,3
-12.073782475784473,-2.0,2,3
-11.729361118270358,-2.0,2,3
-13.246752018788465,-2.0,3,0
-12.586855879375943,-2.0,3,0
-12.113656930855674,-2.0,3,0
-12.100555453490788,-2.0,3,0
-12.073479308551892,-2.0,3,0
-11.98728954948903,-2.0,3,0
-13.43956387170418,-2.0,3,1
-12.476610191858004,-2.0,3,1
-12.31746209432264,-2.0,3,1
-12.233789678632753,-2.0,3,1
-12.001729115483842,-2.0,3,1
-11.773191034577184,-2.0,3,1
-14.107842840122796,-2.0,3,2
-12.771965241787925,-2.0,3,2
-12.678030685264172,-2.0,3,2
-12.096021369668534,-2.0,3,2
-11.875976461301379,-2.0,3,2
-11.67861451598819,-2.0,3,2
-13.439563871704143,-2.0,3,3
-12.476610191858008,-2.0,3,3
-12.317462094322675,-2.0,3,3
-12.233789678632798,-2.0,3,3
-12.001729115483622,-2.0,3,3
-11.773191033295683,-2.0,3,3
-13.400583706582639,-2.0,4,0
-13.080261968334195,-2.0,4,0
-12.242803961942512,-2.0,4,0
-12.089226335514763,-2.0,4,0
-12.08685521496601,-2.0,4,0
-11.977972559119307,-2.0,4,0
-13.262632158850987,-2.0,4,1
-12.476617465399404,-2.0,4,1
-12.390486847499542,-2.0,4,1
-12.136335450927639,-2.0,4,1
-12.073782475784443,-2.0,4,1
-11.729361117076381,-2.0,4,1
-13.784563862511126,-2.0,4,2
-12.782671580174448,-2.0,4,2
-12.179761873923526,-2.0,4,2
-12.128868182112095,-2.0,4,2
-12.097875050598011,-2.0,4,2
-11.909374443754926,-2.0,4,2
-13.262632158850987,-2.0,4,3
-12.476617465399325,-2.0,4,3
-12.390486847499536,-2.0,4,3
-12.136335450927685,-2.0,4,3
-12.073782475784405,-2.0,4,3
-11.729361116033298,-2.0,4,3
-13.975322315289274,-2.0,5,0
-12.475436850623481,-2.0,5,0
-12.38480594141855,-2.0,5,0
-12.04771481573438,-2.0,5,0
-11.726513817064657,-2.0,5,0
-11.677846055404231,-2.0,5,0
-13.272338497032441,-2.0,5,1
-12.471147114673443,-2.0,5,1
-12.204520015660105,-2.0,5,1
-12.136296782100583,-2.0,5,1
-12.071594349202341,-2.0,5,1
-11.825102919935157,-2.0,5,1
-13.232268407019703,-2.0,5,2
-12.814875074663735,-2.0,5,2
-12.209118742985137,-2.0,5,2
-12.165242606858987,-2.0,5,2
-12.048311687323002,-2.0,5,2
-11.905356974064574,-2.0,5,2
-13.272338497032424,-2.0,5,3
-12.471147114673421,-2.0,5,3
-12.204520015660112,-2.0,5,3
-12.136296782100564,-2.0,5,3
-12.071594349202545,-2.0,5,3
-11.825102918157064,-2.0,5,3
-12.527598432911057,-3.0,0,0
-11.532740502817566,-3.0,0,0
-11.363446529909682,-3.0,0,0
-10.985909393936712,-3.0,0,0
-10.769508461911562,-3.0,0,0
-10.671449975928816,-3.0,0,0
-12.245019564897225,-3.0,0,1
-11.301004562979825,-3.0,0,1
-10.974630795228759,-3.0,0,1
-10.896201125539674,-3.0,0,1
-10.785376942654748,-3.0,0,1
-10.708067196191259,-3.0,0,1
-12.14933308463701,-3.0,0,2
-11.798342134165068,-3.0,0,2
-11.513381892608642,-3.0,0,2
-11.025358519918301,-3.0,0,2
-10.942332539611407,-3.0,0,2
-10.784279946326416,-3.0,0,2
-12.245019564897188,-3.0,0,3
-11.301004562979761,-3.0,0,3
-10.974630795228736,-3.0,0,3
-10.89620112553491,-3.0,0,3
-10.785376942632098,-3.0,0,3
-10.708067193287976,-3.0,0,3
-12.475436850623511,-3.0,1,0
-11.230860895558882,-3.0,1,0
-11.002109419970257,-3.0,1,0
-10.981983995895659,-3.0,1,0
-10.838607442382077,-3.0,1,0
-10.819726122751485,-3.0,1,0
-12.136296782100686,-3.0,1,1
-11.39298838756498,-3.0,1,1
-11.08685155798634,-3.0,1,1
-10.89925005498284,-3.0,1,1
-10.631535793031851,-3.0,1,1
-10.624953594951437,-3.0,1,1
-12.209118742985114,-3.0,1,2
-11.778036311195757,-3.0,1,2
-11.099938022436941,-3.0,1,2
-10.861604616548071,-3.0,1,2
-10.695377089378209,-3.0,1,2
-10.634428937551382,-3.0,1,2
-12.136296782100668,-3.0,1,3
-11.39298838756494,-3.0,1,3
-11.086851557986432,-3.0,1,3
-10.899250054982815,-3.0,1,3
-10.63153579428539,-3.0,1,3
-10.624953597170396,-3.0,1,3
-12.086855215217376,-3.0,2,0
-11.491813572772688,-3.0,2,0
-10.913417736638952,-3.0,2,0
-10.886077825215377,-3.0,2,0
-10.812926150594476,-3.0,2,0
-10.699696925887938,-3.0,2,0
-12.136335450927744,-3.0,2,1
-11.305941678256263,-3.0,2,1
-11.026086009595787,-3.0,2,1
-10.888223984860009,-3.0,2,1
-10.734303272029361,-3.0,2,1
-10.639222825677086,-3.0,2,1
-12.782671580174409,-3.0,2,2
-11.360764520566399,-3.0,2,2
-10.943763075496777,-3.0,2,2
-10.77752070042631,-3.0,2,2
-10.736231605697588,-3.0,2,2
-10.648164646567189,-3.0,2,2
-12.13633545092772,-3.0,2,3
-11.305941678256215,-3.0,2,3
-11.02608600959576,-3.0,2,3
-10.88822398485994,-3.0,2,3
-10.734303272027049,-3.0,2,3
-10.639222824183522,-3.0,2,3
-11.987289549502597,-3.0,3,0
-11.244995746948332,-3.0,3,0
-11.139905779404147,-3.0,3,0
-11.024735644689255,-3.0,3,0
-10.95977255393334,-3.0,3,0
-10.639927852013688,-3.0,3,0
-12.317462094322694,-3.0,3,1
-11.125839869748383,-3.0,3,1
-11.004752549358221,-3.0,3,1
-10.892042377343056,-3.0,3,1
-10.750444771238183,-3.0,3,1
-10.666364252507677,-3.0,3,1
-14.107842840122727,-3.0,3,2
-11.678614516055413,-3.0,3,2
-11.040546802872486,-3.0,3,2
-10.776047197288936,-3.0,3,2
-10.663393258890578,-3.0,3,2
-10.645886241555123,-3.0,3,2
-12.31746209432269,-3.0,3,3
-11.125839869748367,-3.0,3,3
-11.004752549358248,-3.0,3,3
-10.892042377342998,-3.0,3,3
-10.750444771238222,-3.0,3,3
-10.66636425249662,-3.0,3,3
-12.086855215217426,-3.0,4,0
-11.491813572772669,-3.0,4,0
-10.913417736638943,-3.0,4,0
-10.886077825215288,-3.0,4,0
-10.812926150594555,-3.0,4,0
-10.699696925624709,-3.0,4,0
-12.136335450927728,-3.0,4,1
-11.305941678256215,-3.0,4,1
-11.026086009595758,-3.0,4,1
-10.888223984859962,-3.0,4,1
-10.73430327202967,-3.0,4,1
-10.639222825992482,-3.0,4,1
-12.782671580174423,-3.0,4,2
-11.36076452056633,-3.0,4,2
-10.943763075496777,-3.0,4,2
-10.77752070042627,-3.0,4,2
-10.73623160569797,-3.0,4,2
-10.648164646794637,-3.0,4,2
-12.13633545092773,-3.0,4,3
-11.305941678256202,-3.0,4,3
-11.02608600959576,-3.0,4,3
-10.888223984859984,-3.0,4,3
-10.734303272029639,-3.0,4,3
-10.639222826080909,-3.0,4,3
-12.475436850623467,-3.0,5,0
-11.23086089555892,-3.0,5,0
-11.002109419970179,-3.0,5,0
-10.981983995895263,-3.0,5,0
-10.838607442288511,-3.0,5,0
-10.819726122671977,-3.0,5,0
-12.136296782100702,-3.0,5,1
-11.392988387564952,-3.0,5,1
-11.08685155798635,-3.0,5,1
